x,y,distance_from_land,depth,u,v,result,distance,comment
-29.93635684328305,20.00997295376234,3,44.785714285714285,74.71428571428571,-5.642857142857143,0,207.19158293911536,We can have a city of 10k person and 5km radius
-29.8465253148711,20.00997295376234,6,45.07142857142857,77.71428571428571,-21.642857142857142,1,222.76043002219552,We can have a mini_city of 5k person and 3km radius
-29.75669378645915,20.00997295376234,4,46.42857142857143,71.5,-30.285714285714285,0,232.04258273877582,We can have a city of 10k person and 5km radius
-29.6668622580472,20.00997295376234,2,48.142857142857146,57.07142857142857,-27.0,0,231.02351015621323,We can have a city of 10k person and 5km radius
-29.44228343701732,20.00997295376234,9,51.142857142857146,35.285714285714285,-44.92857142857143,1,253.33366116162105,We can have a mini_city of 5k person and 3km radius
-29.397367672811345,20.00997295376234,5,51.642857142857146,38.0,-55.71428571428572,0,263.12315732061165,We can have a city of 10k person and 5km radius
-29.21770461598744,20.00997295376234,8,54.0,39.57142857142857,-63.142857142857146,1,269.9921767574092,We can have a mini_city of 5k person and 3km radius
-28.81346273813365,20.00997295376234,5,78.28571428571429,62.21428571428572,-139.35714285714286,0,341.45428773445633,We can have a city of 10k person and 5km radius
-28.768546973927677,20.00997295376234,5,78.28571428571429,62.21428571428572,-139.35714285714286,0,341.45428773445633,We can have a city of 10k person and 5km radius
-28.7236312097217,20.00997295376234,9,87.35714285714286,59.85714285714285,-169.78571428571428,1,371.9582281243255,We can have a mini_city of 5k person and 3km radius
-28.633799681309743,20.00997295376234,2,98.5,53.71428571428572,-198.57142857142856,0,401.2499856952124,We can have a city of 10k person and 5km radius
-28.58888391710377,20.00997295376234,4,110.21428571428572,42.285714285714285,-216.42857142857144,2,420.4089602726743,Due to velocity and distance and depth we cant have a city here
-28.49905238869182,20.00997295376234,7,121.21428571428572,25.0,-213.57142857142856,2,420.3169358122656,Due to velocity and distance and depth we cant have a city here
-28.319389331867917,20.00997295376234,7,140.57142857142858,-16.785714285714285,-177.07142857142858,1,394.7426570642226,We can have a mini_city of 5k person and 3km radius
